English,Spanish
How long have you been having difficulty breathing?,¿Cuánto tiempo has tenido dificultades para respirar?
"Is it all the time, or only when you're doing something?",¿Es todo el tiempo o solo cuando estás haciendo algo?
Do you wake up at night not being able to breathe?,¿Te desperta por las noches no pudiendo respirar?
"No, I don't think so."," No, no pienso así."
Are you wheezing or coughing?,¿Estás silbando o tosiendo?
Are you coughing up mucus?,¿Estás tú expectando mucos?
Do you have fever or chills?,¿Tienes fiebre o escalofríos?
Sometimes chills.,A veces me dan escalofríos.
Please sit on the exam table so that I can listen to your lungs.," Por favor, siéntate en la mesa de exámenes para que pueda escuchar tus pulmones."
How long have you been sick?,¿Cuánto tiempo has estado enfermo?
Do your sinuses feel congested?,¿Sientes congestión en tus senos?
Are you getting mucus when you blow your nose?,¿Te estás produciendo mucos cuando te das un puntapié en la nariz?
Do you get a lot of sinus infections?,¿Frequently do you get sinus infections?
"Yes, every winter."," ¡Sí, todos los inviernos!"
Have you had sinus surgery?,¿Has tenido cirugía de senos?
How long have you had the pain?,¿Cuánto tiempo has tenido el dolor?
Does the pain go down your arms?,¿El dolor baja por tus brazos?
What movement makes it worse?,¿Qué movimiento empeora más?
Have you had problems with your neck before?,¿Has tenido problemas con tu cuello antes?
Have you ever had neck surgery?,¿Has tenido alguna cirugía en la nuca?
I am going to examine your neck and test your reflexes.,Voy a examinar tu cuello y probar tus reflejos.
How many days has your eye been red?,¿Cuántos días tiene tu ojo rojo?
"Four days, doctor."," Cuatro días, doctor."
Do you think you have something in your eye?,¿Crees que tienes algo en tu ojo?
Does the light bother your eyes?,¿La luz te bothers los ojos?
Maybe a little.,Quizás un poco.
When was your last eye exam?,¿Cuándo fue tu última revisión de ojos?
I can't remember.,No lo recuerdo.
Do you have glaucoma?,¿Tienes glaucoma?
I'm going to examine your eyes.,Voy a examinar tus ojos.
How long has your knee been hurting you?,¿Cuánto tiempo te duele el rodilla?
Have you ever injured your knee?,¿Has nunca lesionado tu rodilla?
"No, I don't think so."," No, no pienso así."
Does your work require you to do a lot of kneeling?,¿Tu trabajo te requiere hacer muchas kness?
"Yes, a lot."," ¡Sí, mucho!"
Does your knee ever give way or buckle when you walk?,¿Las rodillas te doblan o se desfuerzan cuando caminas?
Does your knee sometimes lock so that you cannot completely straighten your leg?,¿A times does your knee lock so that you can not fully extend your leg?
"No, it just hurts.","No, solo duele."
Does your knee feel stiff when you get up in the morning?,¿Sientes riguecimiento en tus rodillas al levantarte por la mañana?
"Yes, it's worse in the morning."," ¡Sí, es peor por la mañana!"
"I'm going to examine your knee while you are standing, sitting, and lying down."," Voy a examinar tu rodilla mientras estés de pie, sentado y acostado."
Please point to where your head hurts.," Por favor, apunta dónde duele la cabeza."
"Here, on the side."," Aquí, en el lado."
Do you wake up with the headache?,¿Te duele la cabeza al despertarte?
Does it get better or worse as the day goes on?,¿Mejorará o empeorará el día a medida que pase?
"Probably a little better, but worse at night.",probablemente un poco mejor pero peor por la noche.
How long have you had this headache?,¿Cuánto tiempo has tenido esta migraña?
Is it getting progressively worse?,¿Es que se va empeorando progresivamente?
Have you noticed any change in your vision?,¿Has notices cualquier cambio en tu visión?
"I'm going to examine you head, eyes, ears, and neck."," Voy a examinar tu cabeza, ojos, orejas y cuello."
How long have you had diarrhea?,¿Cuánto tiempo has tenido diarrea?
About a week.,sobre una semana.
Two or three times every day. Maybe four times.,Dos o tres veces al día. ¡Quizás cuatro!
Do you have any cramping?,¿Tienes dolores de piernas?
"Yes, a little bit."," ¡Sí, un poco!."
"Sometimes. Yes, I think so."," A veces. Sí, creo que sí."
Have you traveled recently?,¿Ha viajado recientemente?
Where did you go?,¿Dónde estuviste?
Please lie down on the exam table so I can examine your abdomen.," Por favor, tú te recuestes en la mesa de exámenes para que pueda examinar tu abdomen."
Do your ears hurt?,¿Te duele los oídos?
Have you noticed any drainage?,¿Has notices any drainage?
Are you having difficulty hearing?,¿Tienes dificultades para oír?
A little bit.,un poco.
Have you been swimming recently?,¿Has estado nadando recientemente?
On Wednesday.,en miércoles
Please turn your head.," Por favor, mueve tu cabeza."
I understand that your stomach has been hurting.,Entiendo que tu estómago te duele.
Are there times when you are free of pain?,¿Hay momentos en los que estás libre de dolor?
Does eating make it worse?,¿Comer hace peor?
Are you burping or passing gas?,¿Estás borboteando o pasando gas?
I'm going to examine your abdomen.,Voy a examinar tu abdomen.
How many days have you had your sore throat?,¿Cuántos días has tenido la garganta inflamada?
"Is it getting better, worse, or staying the same?"," ¿Mejorando, empeorando o igual?"
Have you ever had a strep infection?,¿Has tenido alguna infección por estreptocinia?
I don't think so.," No, no creo."
Do you still have your tonsils?,¿Todavía tienes tus amígdalas?
"No, doctor.","No médico."
Open wide.,Abranto.
Do you have to strain to have a bowel movement?,¿Te cuesta esfuerzo tener una evacuación bowel?
Is your stool hard?,¿Es tu estiolo duro?
Do you have hemorrhoids?,¿Tienes flemas?
I don't think so.," No, no creo."
Have you seen any bright red blood?,¿Has visto alguna sangre roja brillante?
"Yes, a little bit."," ¡Sí, un poco!."
Is your stool maroon in color?,¿Tu banca es de morado en color?
Have you tried any over-the-counter treatments such as laxatives?,¿Has intentado algún tratamiento en la tienda como laxantes?
Was that helpful?,¿Fue útil?
Not really.," No, no."
We're going to need a stool sample.,Necesitamos una muestra de estíolo.
What are you going to do?,¿Qué vas a hacer?
"First of all, we are going to do tests of blood and urine."," En primer lugar, vamos a hacer pruebas de sangre y orina."
"I was working on the roof of the building, and I fell!",Estaba trabajando en el techo del edificio y me caí!
Did you hit your head? Did you lose consciousness?,¿Te golpeaste la cabeza? ¿Te perdiste el conocimiento?
"No, neither of the two, but I think that I fractured my ankle!"," ¡No! Ni uno de los dos, pero creo que me fracturé la rodilla!"
"Yes, you have a fracture. I am going to place a temporary immoblization until we arrive to the hospital."," ¡Sí, tienes una fractura! Voy a colocar una inmovilización temporal hasta que lleguemos al hospital."
"Very well. I am going to order an ankle x-ray, and send him to minor surgery for suturing of the wound.",¡Muy bien! Voy a ordenar una radiografía de tobillo y enviarlo a la cirugía menor para la suturación de la herida.
"Mrs. Bliss, can I to go to the nurse's office?"," ¿Señora Bliss, puedo ir al despacho de la enfermera?"
"Why? Today, We have an important exam.",¿Por qué hoy? ¡Tenemos un examen importante!
"Well, suddenly, I have a terrible migraine."," ¡Oh no! De repente, ¡me siento con un dolor de cabeza terribles!"
"How are you doing, Elizabeth? What brings you here?"," ¿Cómo estás, Elizabeth? ¿Por qué has venido aquí?"
"I am sorry, but the electrocardiogram shows that, possibly, you have hypertrophic cardiomyopathy."," Lo siento, pero el electrocardiograma indica que, posiblemente, tienes miocarditis hipertrofica."
"I understand, because my father has the same problem.",Entiendo porque mi padre tiene el mismo problema.
We are going to request an echocardiogram.,¡Vamos a solicitar un ecocardiógrafo!
I suppose that the fact that I have no symptoms is good.,Supongo que el hecho de no tener síntomas es bueno.
"Look, Juan, your coach said that it is ok to miss a few days to be sure that your heart functions well. Don't worry."," Mirar, Juan, tu entrenador dijo que es mejor perder algunos días para asegurarse de que funcione bien tu corazón. No te preocupes."
"Good afternoon, doctor, how are you?","¡Buena tarde, doctor, ¿cómo estás?"
"Very good, Mrs. Ramírez. And what brings you here today?"," Muy bien, Señora Ramírez. ¿Y qué te trae hoy?"
"It is little Alejandro, doctor. He is complaining of having something in his eyes, and it even bothers him when he blinks."," Es pequeño Alejandro, doctor. Le molesta algo en los ojos y incluso le bothers cuando se parpadea."
"Ah! Let me see you Alejandro. Yes, now I see, and also your eyes have been tearing, isn't that right?"," ¡Ah! ¡Mira tú, Alejandro! ¡Sí, ahora veo y también tus ojos han llorado, ¿verdad?"
"Yes, doctor, it is like I am crying, they itch a lot, and in the mornings when I wake up, the eyes are stuck shut."," ¡Sí, doctor, es como si llorara, me itchan mucho y en las mañanas cuando me levanto, los ojos están cerrados."
"Doctor, is it something serious?","¿Doctor, ¿es algo serio?"
Am I going to remain myself blind?,¿Me voy a quedar ciego por siempre?
"Ay, thanks to God, doctor!. And what do we have to do?"," ¡Ay, gracias a Dios, médico! ¿Qué tenemos que hacer?"
"I am going to prescribe an antibiotic in drops. Two drops per day for 7 days will be sufficient. And, don't forget to wash the eyes carefully every morning, Alejandro."," Va a prescribirme un antibiótico en gotas. Dos gotas al día por 7 días serán suficientes. Y no olvide lavear los ojos con cuidado cada mañana, Alejandro."
"And has he had fever, or has he vomited?","¿Ha tenido fiebre o ha vomitado?"
"No, he has not vomited, but he had fever. The last fever was of 102 degrees.","No ha vomitado, pero ha tenido fiebre. La fiebre más alta fue de 40 grados."
"Have you given him some medicine for the diarrhea, or the fever?",¿Has le dado algún medicamento para la diarrea o la fiebre?
"Yes, for the diarrhea. I gave him toasted rice water.","¿Qué traducción en español de la oración ""Yes, for the diarrhea. I gave him toasted rice water.""?"
"We will observe him first during a few hours. Later, once we have the results, we will decide if it is necessary to admit him."," Lo observaremos por primera vez durante unas horas. Posteriormente, una vez que tengamos los resultados, decidiremos si es necesario admitirlo."
"Mrs. Martinez, what are you doing here so soon? I thought that the well child check-up of the baby would be the next week...","¿Mrs. Martínez, ¿qué haces aquí tan temprano? Me figuraba que la revisión del niño saludable sería la próxima semana..."
"Yes, You are right, but it's that the girl hardly cries, and she is very irritable since last night. She rejects the breast, and doesn't eat since this morning after vomiting."," Sí, tienes razón, pero es que la muchacha apenas llora y está muy irritada desde la noche pasada. Rechaza el pecho y no come desde esta mañana después de vomitar."
"Has she had diarrhea or fever? Nurse, the girl has dry mucusal surfaces. Please hydrate her with intravenous physiologic solution.","
Has ella tenido diarrea o fiebre? Enfermera, la niña tiene superficies muco-cistosas secas. Por favor, hidrata con solución fisiológica intravenosa."
