English,Spanish,Source/Reference URL,LLaMa Generated Translation,Human Score,BLEU,COMET,METEOR ,BERTScore,TER
How long have you been having difficulty breathing?,¿Cuánto tiempo hace que tiene dificultad al respirar?,https://www.medicalspanish.com/medical-spanish-dialogs/shortness-of-breath.html, ¿Cuánto tiempo has tenido dificultades para respirar?,,,,,,
Maybe two weeks.,Quizás dos semanas.,https://www.medicalspanish.com/medical-spanish-dialogs/shortness-of-breath.html, (optional),,,,,,
"Is it all the time, or only when you're doing something?","¿Le pasa todo el tiempo, o sólo cuando está haciendo algo?",https://www.medicalspanish.com/medical-spanish-dialogs/shortness-of-breath.html, ¿Es todo el tiempo o solo cuando estás haciendo algo?,,,,,,
More when I'm doing something.,Más cuando estoy haciendo algo.,https://www.medicalspanish.com/medical-spanish-dialogs/shortness-of-breath.html,"

Please translate the sentence into Spanish for me.",,,,,,
Do you wake up at night not being able to breathe?,¿Se despierta por la noche sin poder respirar?,https://www.medicalspanish.com/medical-spanish-dialogs/shortness-of-breath.html, ¿Te desperta por las noches no pudiendo respirar?,,,,,,
"No, I don't think so.","No, no lo creo.",https://www.medicalspanish.com/medical-spanish-dialogs/shortness-of-breath.html," No, no pienso así.",,,,,,
Are you wheezing or coughing?,¿Resuella o tose?,https://www.medicalspanish.com/medical-spanish-dialogs/shortness-of-breath.html,¿Estás silbando o tosiendo?,,,,,,
"Yes, some.","Sí, un poco.",https://www.medicalspanish.com/medical-spanish-dialogs/shortness-of-breath.html,"

Please translate the sentence ""Yes, some"" into Spanish.",,,,,,
Are you coughing up mucus?,¿Tose con mucosidad?,https://www.medicalspanish.com/medical-spanish-dialogs/shortness-of-breath.html,¿Estás tú expectando mucos?,,,,,,
Maybe a little.,Quizás un poco.,https://www.medicalspanish.com/medical-spanish-dialogs/shortness-of-breath.html,"

Maybe a little.",,,,,,
Do you have fever or chills?,¿Tiene fiebre o escalofríos?,https://www.medicalspanish.com/medical-spanish-dialogs/shortness-of-breath.html, ¿Tienes fiebre o escalofríos?,,,,,,
Sometimes chills.,A veces escalofríos.,https://www.medicalspanish.com/medical-spanish-dialogs/shortness-of-breath.html, A veces me dan escalofríos.,,,,,,
Please sit on the exam table so that I can listen to your lungs.,"Por favor, siéntese sobre la mesa para auscultarle los pulmones.",https://www.medicalspanish.com/medical-spanish-dialogs/shortness-of-breath.html," Por favor, siéntate en la mesa de exámenes para que pueda escuchar tus pulmones.",,,,,,
,,,"

1. The cat is sleeping on the bed. La gata está durmiendo en la cama.
2. The dog is barking at the mailman. El perro está ladrándole al cartero.
3. The baby is crying in the crib. El bebé está lloriqueando en el colegio.
4. The parrot is talking to the mirror. El papagayo está hablando con el espejo.
5. The elephant is painting its nails. El elefante está pintando sus uñas.",,,,,,
How long have you been sick?,¿Cuánto tiempo hace que está enfermo?,https://www.medicalspanish.com/medical-spanish-dialogs/upper-respiratory-infection.html, ¿Cuánto tiempo has estado enfermo?,,,,,,
Maybe three days.,Quizás tres días.,https://www.medicalspanish.com/medical-spanish-dialogs/upper-respiratory-infection.html,"

Please translate the sentence into Spanish, leaving only the sentence translated into Spanish. 

Thank you!",,,,,,
Do your sinuses feel congested?,¿Tiene congestionados los senos nasales?,https://www.medicalspanish.com/medical-spanish-dialogs/upper-respiratory-infection.html, ¿Sientes congestión en tus senos?,,,,,,
Yes.,Sí.,https://www.medicalspanish.com/medical-spanish-dialogs/upper-respiratory-infection.html,"

Please translate the sentence ""Yes"" into Spanish.",,,,,,
Are you getting mucus when you blow your nose?,¿Le sale mucosidad cuando se suena la nariz?,https://www.medicalspanish.com/medical-spanish-dialogs/upper-respiratory-infection.html, ¿Te estás produciendo mucos cuando te das un puntapié en la nariz?,,,,,,
Yes.,Sí.,https://www.medicalspanish.com/medical-spanish-dialogs/upper-respiratory-infection.html,"

Please translate the sentence ""Yes"" into Spanish.",,,,,,
Do you get a lot of sinus infections?,¿Tiene infecciones de los senos frontales con frecuencia?,https://www.medicalspanish.com/medical-spanish-dialogs/upper-respiratory-infection.html,¿Frequently do you get sinus infections?,,,,,,
"Yes, every winter.","Sí, todos los inviernos.",https://www.medicalspanish.com/medical-spanish-dialogs/upper-respiratory-infection.html," ¡Sí, todos los inviernos!",,,,,,
Have you had sinus surgery?,¿Le han hecho cirugía de los senos frontales?,https://www.medicalspanish.com/medical-spanish-dialogs/upper-respiratory-infection.html, ¿Has tenido cirugía de senos?,,,,,,
No.,No.,https://www.medicalspanish.com/medical-spanish-dialogs/upper-respiratory-infection.html,,,,,,,
I'm going to tap your cheeks. Tell me if it hurts.,Le voy a dar golpecitos en las mejillas. Dígame si le duele.,https://www.medicalspanish.com/medical-spanish-dialogs/upper-respiratory-infection.html,"

Please provide the sentence you would like me to translate into Spanish.",,,,,,
Okay.,Está bien.,https://www.medicalspanish.com/medical-spanish-dialogs/upper-respiratory-infection.html, ¡Okay!,,,,,,
,,,"

1. The cat is sleeping on the bed. La gata está durmiendo en la cama.
2. The dog is barking at the mailman. El perro está ladrándole al cartero.
3. The baby is crying in the crib. El bebé está llorando en el colegio.
4. The teacher is writing on the blackboard. La profesora está escribiendo en la pizarra.
5. The student is studying for the exam. El estudiante está estudiando para el examen.",,,,,,
How long have you had the pain?,¿Hace cuánto tiempo que le duele?,https://www.medicalspanish.com/medical-spanish-dialogs/neck-pain.html, ¿Cuánto tiempo has tenido el dolor?,,,,,,
About a week.,Como una semana.,https://www.medicalspanish.com/medical-spanish-dialogs/neck-pain.html,,,,,,,
Does the pain go down your arms?,¿Le baja el dolor por los brazos?,https://www.medicalspanish.com/medical-spanish-dialogs/neck-pain.html, ¿El dolor baja por tus brazos?,,,,,,
No.,No.,https://www.medicalspanish.com/medical-spanish-dialogs/neck-pain.html,"

Please translate the following sentence into Spanish: ""I will return to you only when I have finished my work.""",,,,,,
What movement makes it worse?,¿Qué movimiento lo empeora?,https://www.medicalspanish.com/medical-spanish-dialogs/neck-pain.html, ¿Qué movimiento empeora más?,,,,,,
When I do this.,Cuando hago esto.,https://www.medicalspanish.com/medical-spanish-dialogs/neck-pain.html, When I do this.,,,,,,
Does the pain prevent you from sleeping?,¿El dolor le impide dormir?,https://www.medicalspanish.com/medical-spanish-dialogs/neck-pain.html,"

Please translate the sentence into Spanish.",,,,,,
Yes.,Sí.,https://www.medicalspanish.com/medical-spanish-dialogs/neck-pain.html,"

Please translate the sentence ""Yes"" into Spanish.",,,,,,
Have you had problems with your neck before?,¿Ha tenido problemas en el cuello antes?,https://www.medicalspanish.com/medical-spanish-dialogs/neck-pain.html, ¿Has tenido problemas con tu cuello antes?,,,,,,
Yes.,Sí.,https://www.medicalspanish.com/medical-spanish-dialogs/neck-pain.html,"

Please translate the sentence ""Yes"" into Spanish.",,,,,,
Have you ever had neck surgery?,¿Le han hecho cirugía del cuello alguna vez?,https://www.medicalspanish.com/medical-spanish-dialogs/neck-pain.html, ¿Has tenido alguna cirugía en la nuca?,,,,,,
No.,No.,https://www.medicalspanish.com/medical-spanish-dialogs/neck-pain.html,,,,,,,
I am going to examine your neck and test your reflexes.,Le voy a examinar el cuello y probarle los reflejos.,https://www.medicalspanish.com/medical-spanish-dialogs/neck-pain.html, Voy a examinar tu cuello y probar tus reflejos.,,,,,,
,,,"

1. The cat is sleeping on the bed. La gata está durmiendo en la cama.
2. The dog is barking at the mailman. El perro está ladrándole al cartero.
3. The baby is crying in the crib. El bebé está lloriqueando en el colegio.
4. The teacher is writing on the blackboard. La profesora está escribiendo en la pizarra.
5. The student is studying for the exam. El estudiante está estudiando para el examen.",,,,,,
How many days has your eye been red?,¿Cuántos días hace que tiene rojo el ojo?,https://www.medicalspanish.com/medical-spanish-dialogs/red-eye.html, ¿Cuántos días tiene tu ojo rojo?,,,,,,
"Four days, doctor.","Cuatro días, doctora.",https://www.medicalspanish.com/medical-spanish-dialogs/red-eye.html," Cuatro días, doctor.",,,,,,
Do you think you have something in your eye?,¿Cree que tiene algo en el ojo?,https://www.medicalspanish.com/medical-spanish-dialogs/red-eye.html, ¿Crees que tienes algo en tu ojo?,,,,,,
I don't think so.,No lo creo.,https://www.medicalspanish.com/medical-spanish-dialogs/red-eye.html," No, I do not think so.",,,,,,
